addr,chargeTp,cpNm,csId,csNm
경기도 의정부시 의정부동 168-54 신세계백화점 4층 주차장,2,급속02,3852,신세계 의정부점
경기도 의정부시 의정부동 168-54 신세계백화점 4층 주차장,2,급속01,3852,신세계 의정부점
경기도 의정부시 가능동 362-3 주차장,2,급속01,3744,가능1동 5공영주차장
경기도 화성시 진안동 874-1 주차타워 2층,2,급속03,4081,진안동공영주차장
경기도 김포시 고촌읍 전호리 668 타워존 지하1층 B03기둥 앞,2,급속01,3865,김포아울렛 타워존
경기도 김포시 고촌읍 전호리 668 타워존 지하1층 B03기둥 앞,2,급속02,3865,김포아울렛 타워존
경기도 김포시 고촌읍 전호리 654 East동 지하2층 F04번 기둥,2,급속02,3818,김포아울렛_본관
경기도 김포시 고촌읍 전호리 654 East동 지하2층 F04번 기둥,2,급속01,3818,김포아울렛_본관
경기도 김포시 고촌읍 태리 31-14 고촌농협 로컬푸드 직매장 창고앞,2,급속01,3817,고촌농협 장곡지점
경기도 부천시 심곡동 135-3 지하1층 주차장,2,급속01,3822,심곡동 행정복지센터
경기도 성남시 수정구 태평동 224-6 지상(관리사무소 앞),2,급속01,3742,노외주차장(건우공영)
경기도 광주시 곤지암읍 곤지암리 555 공영주차장 내,2,급속01,4147,곤지암 공영주차장
경기도 양주시 광적면 광석리 132 양주문화예술회관 앞 지상 주차장,2,급속01,4135,양주문화예술회관
경기도 양주시 백석읍 오산리 256 백석생활체육공원 지상 주차장,2,급속01,4136,백석생활체육공원
경기도 양주시 광적면 광석리 132 양주문화예술회관 앞 지상 주차장,2,급속02,4135,양주문화예술회관
경기도 동두천시 상패동 122 옥외주차장,2,급속01,4275,동두천시민회관
경기도 동두천시 상패동 122 옥외주차장,2,급속02,4275,동두천시민회관
경기도 오산시 오산동 316-47 주차타워,2,급속01,4590,오색시장 제2공영주차장
경기도 연천군 전곡읍 전곡리 705-2 세계캠핑체험존,2,급속01,4619,세계캠핑체험존(100kw)
경기도 가평군 가평읍 달전리 364 관외 주차장,2,급속01,4530,가평하수도사업소
경기도 수원시 장안구 정자동 571-1 지상주차장,2,급속01,4637,한국농어촌공사 경기지역본부
경기도 오산시 금암동 512 복지관 뒤편 주차장,2,급속01,4526,세교종합사회복지관
경기도 가평군 가평읍 대곡리 213-5 관외 주차장,2,급속01,4532,가평소방서
경기도 평택시 현덕면 인광리 402-12 현덕면 행정복지센터,2,급속01,4709,현덕면 행정복지센터
경기도 용인시 처인구 남사읍 북리 54-10 현대리바트 내 주차장,2,급속02,4795,남사 현대리바트(공용)
경기도 구리시 인창동 699-1 야외주차장,2,급속01,4500,동구동주민센터
경기도 남양주시 진건읍 사능리 92-1 입구 오른쪽 야외주차장,2,급속01,4499,농업기술센터
경기도 연천군 전곡읍 전곡리 231-13 한국농어촌공사 연천포천가평지사,2,급속01,4621,한국농어촌공사(100kw)
경기도 연천군 청산면 초성리 440-15 청산면사무소,2,급속01,4620,청산면사무소(100kw)
경기도 연천군 전곡읍 전곡리 231-13 한국전력 연천지사,2,급속01,4631,한국전력 연천지사(50kw)
경기도 연천군 전곡읍 전곡리 231-13 한국전력 연천지사,2,급속01,4622,한국전력 연천지사(50kw)
경기도 가평군 가평읍 대곡리 316 정문 주차장,2,급속01,4643,가평종합운동장
경기도 수원시 장안구 조원동 산 1-24 지상주차장,2,급속02,4636,경기도교통연수원
경기도 수원시 장안구 조원동 산 1-24 지상주차장,2,급속01,4636,경기도교통연수원
경기도 수원시 팔달구 고등동 153-1 지하주차장,2,급속01,4726,고등동 행정복지센터
경기도 수원시 팔달구 고등동 153-1 지하주차장,2,급속02,4726,고등동 행정복지센터
경기도 광주시 역동 27-32 고객주차장,2,급속04,4638,광주지사 전기차충전소
경기도 수원시 장안구 하광교동 416-1 주차장,2,급속01,4089,수원시상수도사업소
경기도 광명시 철산로 3-13 본관 지상주차장,2,급속01,4592,광명지사(공용)
경기도 광명시 철산로 3-13 본관 지상주차장,1,완속01,4592,광명지사(공용)
경기도 광주시 송정동 570 민원실 앞 주차장,2,급속02,4632,광주시청 공용전기차충전소
경기도 파주시 탄현면 법흥리 1631-3 지상주차장,2,급속01,4618,국립민속박물관(파주관)
경기도 고양시 일산서구 대화동 2606-1 지상,2,급속02,4729,아쿠아플라넷
경기도 고양시 일산서구 대화동 2606-1 지상,2,급속01,4729,아쿠아플라넷
경기도 의왕시 오전동 892 지하5층,2,급속02,4797,서해그랑블(B5층)
경기도 의왕시 오전동 892 지하5층,2,급속01,4797,서해그랑블(B5층)
경기도 남양주시 다산동 6033 다산체육공원 주차장,2,급속01,4107,다산체육공원
경기도 고양시 일산서구 대화동 2320 정문입구 지상주차장,2,급속01,4441,고양종합운동장
경기도 김포시 통진읍 서암리 151-4 주차장,2,급속01,4466,서암체육공원
경기도 김포시 운양동 1258-1 나래울공원 주차장,2,급속02,4462,나래울공원
경기도 김포시 운양동 1258-1 나래울공원 주차장,2,급속01,4462,나래울공원
경기도 김포시 사우동 925 지하 2층,2,급속01,4463,김포문화재단
경기도 김포시 사우동 925 지하 2층,2,급속02,4463,김포문화재단
경기도 김포시 통진읍 서암리 151-4 주차장,2,급속02,4466,서암체육공원
경기도 광명시 소하동 1331 지상 주차장,2,급속01,4602,소하도서관
경기도 광명시 하안동 683 지상주차장,2,급속01,4603,하안도서관
경기도 동두천시 생연동 70 주차장,2,급속02,4623,동두천시종합운동장
경기도 화성시 팔탄면 고주리 196-1 폴리텍대학 화성캠퍼스,2,급속01,4708,폴리텍대학 화성캠퍼스
경기도 여주시 산북면 상품리 121 산북면 행정복지센터,2,급속01,4713,산북면 행정복지센터
