addr,chargeTp,cpNm,csId,csNm
서울특별시 용산구 용산동6가 11-426 지하주차장 B구역 B23기둥,2,급속02,3084,국립 중앙 박물관
서울특별시 광진구 광나루로 56길 85 지하4층 주차장,1,완속01,289,강변테크노마트 주차장
서울특별시 영등포구 여의도동 1 국회의사당 본관후문 1층 주차장,1,완속03,18,국회의사당
서울특별시 노원구 상계동 701-1 지상 주차장 입구 우측,2,급속01,2540,노원구청
서울특별시 도봉구 쌍문동 388-1 주차건물 옆,2,급속01,3079,한일병원
서울특별시 영등포구 여의도동 1 국회의사당 본관후문 1층 주차장,1,완속02,18,국회의사당
서울특별시 강동구 구천면로 395(명일동) 지하3층 주차장 안쪽 전기실 앞,2,급속01,224,명일동 공영주차장
서울특별시 성북구 정릉동 861-1 7호관 주차장,2,급속02,3069,국민대학교
서울특별시 중구 다동 85-4 한외빌딩 앞 노상주차장,2,급속03,2947,한국관광공사 옆 노상 공영주차장
서울특별시 광진구 광장동 353 남문 주차장 앞,2,급속01,2228,장로회신학대학교
서울특별시 도봉구 도봉로 678 지상 5층 주차장,2,급속01,2070,홈플러스 방학점
서울특별시 관악구 신사로 7 사무실 바로 옆 지상,2,급속01,2617,관악동작 견인차량 보관소
서울특별시 마포구 월드컵로 240 경기장 서편 주차장,2,급속07,194,상암월드컵경기장
서울특별시 중구 회현동1가 산 1-19 남산케이블카 주차장 입구 좌측,2,급속01,3068,남산케이블카
서울특별시 강북구 미아동 190-1 지하 1층 주차장,1,완속07,10,강북성북지사(공용)
서울특별시 광진구 자양로 117 보건소 앞,2,급속01,288,광진구청 주차장
서울특별시 노원구 공릉동 26-21 제3과학관 지하주차장,2,급속01,3067,삼육대학교
서울특별시 송파구 신천동 7-11 지상 1층,2,급속01,3262,한국광고문화회관
서울특별시 성북구 정릉동 861-1 7호관 주차장,2,급속01,3069,국민대학교
서울특별시 송파구 문정동 38-3 지하1층,2,급속01,3866,문정근린공원 공영주차장
서울특별시 용산구 이태원로 29 지하주차장 B2-14,2,급속03,3814,전쟁기념관
서울특별시 용산구 이태원로 29 지하주차장 B2-14,2,급속01,3814,전쟁기념관
서울특별시 용산구 이태원로 29 지하주차장 B2-14,2,급속02,3814,전쟁기념관
서울특별시 강동구 성내동 541-2 치매요양센터 앞 주차장,2,급속01,3769,강동보건소
서울특별시 서대문구 신촌동 134 중앙 지하 주차장 B2(G5),2,급속01,3813,연세대학교
서울특별시 서대문구 신촌동 134 중앙 지하 주차장 B2(G5),2,급속03,3813,연세대학교
서울특별시 서대문구 신촌동 134 중앙 지하 주차장 B2(G5),2,급속02,3813,연세대학교
